p,d,t,X,success
0.08,10,598914,194.2011843,1
0.08,10,6269,100.9861857,1
0.08,10,13530,102.1282423,1
0.08,10,659553,203.7388743,1
0.08,10,1939735,405.0940924,1
0.08,10,5383,100.84683,1
0.09,10,6663,102.1249137,1
0.09,10,7282,102.3222909,1
0.09,10,4227,101.3481595,1
0.09,10,481940,253.6739242,1
0.09,10,802459,355.8760869,1
0.09,10,6601,102.1051441,1
0.09,10,8833,102.8168499,1
0.09,10,296265,194.4687396,1
0.09,10,10992,103.5052785,1
0.09,10,6937,102.2122826,1
0.1,10,129895,177.9376,1
0.1,10,6317,103.7908,1
0.1,10,397792,338.6758,1
0.1,10,9309,105.586,1
0.1,10,5848,103.5094,1
0.1,10,5877,103.5268,1
0.1,10,334440,300.6646,1
0.1,10,94498,156.6994,1
0.1,10,39013,123.4084,1
0.1,10,94884,156.931,1
0.11,10,250422,366.1837722,1
0.11,10,12328,113.1049453,1
0.11,10,330003,450.7733297,1
0.11,10,12907,113.7203856,1
0.11,10,6019,106.3988783,1
0.11,10,8028,108.534318,1
0.11,10,7651,108.1335909,1
0.11,10,3604,103.8318864,1
0.11,10,5484,105.8302073,1
0.11,10,55162,158.6347717,1
0.12,10,10925,119.5749167,1
0.12,10,8568,115.3521381,1
0.12,10,8378,115.011736,1
0.12,10,35988,164.4775469,1
0.12,10,9117,116.3357213,1
0.12,10,473714,948.7032463,1
0.12,10,3860,106.9173305,1
0.12,10,5968,110.6940031,1
0.12,10,11041,119.7827412,1
0.12,10,4920,108.8164164,1
0.13,10,7668,122.2100789,1
0.13,10,4668,113.5218227,1
0.13,10,19585,156.7227286,1
0.13,10,5371,115.5577708,1
0.13,10,20147,158.3503286,1
0.13,10,14478,141.9324205,1
0.13,10,5133,114.8685024,1
0.13,10,17738,151.3736589,1
0.13,10,140166,505.9356023,1
0.13,10,4500,113.0352804,1
0.14,10,8625,138.9698665,1
0.14,10,9081,141.0299476,1
0.14,10,8351,137.7320108,1
0.14,10,7438,133.607331,1
0.14,10,8466,138.2515488,1
0.14,10,5802,126.2163384,1
